County,Date,New cases,Total Cases,Total Deaths,"Rate Per 10,000",% of all cases by date
Alamance,9/18/2020,38,3668,48,216.4,1.92
Alamance,9/17/2020,29,3630,48,214.1,1.91
Alamance,9/16/2020,17,3601,48,212.4,1.92
Alamance,9/15/2020,11,3584,48,211.4,1.92
Alamance,9/14/2020,15,3573,48,210.8,1.92
Alamance,9/13/2020,32,3558,48,209.9,1.92
Alamance,9/12/2020,24,3526,48,208,1.92
Alamance,9/11/2020,50,3502,48,206.6,1.92
Alamance,9/10/2020,21,3452,48,203.6,1.91
Alamance,9/9/2020,3,3431,47,202.4,1.91
Alamance,9/8/2020,11,3428,47,202.2,1.92
Alamance,9/7/2020,26,3417,46,201.6,1.92
Alamance,9/6/2020,12,3391,46,200,1.92
Alamance,9/5/2020,45,3379,46,199.3,1.92
Alamance,9/4/2020,40,3334,46,196.7,1.91
Alamance,9/3/2020,35,3294,46,194.3,1.91
Alamance,9/2/2020,16,3259,46,192.3,1.91
Alamance,9/1/2020,143,3243,46,191.3,1.91
Alamance,8/30/2020,73,3100,46,182.9,1.87
Alamance,8/28/2020,15,3027,45,178.6,1.86
Alamance,8/27/2020,57,3012,44,177.7,1.87
Alamance,8/26/2020,24,2955,44,174.3,1.86
Alamance,8/25/2020,10,2931,44,172.9,1.86
Alamance,8/24/2020,45,2921,44,172.3,1.87
Alamance,8/23/2020,38,2876,44,169.7,1.85
Alamance,8/22/2020,52,2838,44,167.4,1.85
Alamance,8/21/2020,60,2786,44,164.4,1.83
Alamance,8/20/2020,28,2726,44,160.8,1.82
Alamance,8/19/2020,17,2698,44,159.2,1.82
Alamance,8/18/2020,28,2681,42,158.2,1.83
Alamance,8/17/2020,14,2653,42,156.5,1.82
Alamance,8/16/2020,27,2639,42,155.7,1.82
Alamance,8/15/2020,26,2612,42,154.1,1.82
Alamance,8/14/2020,19,2586,42,152.6,1.82
Alamance,8/13/2020,41,2567,42,151.4,1.82
Alamance,8/12/2020,30,2526,41,149,1.82
Alamance,8/11/2020,24,2496,41,147.2,1.81
Alamance,8/10/2020,24,2472,41,145.8,1.81
Alamance,8/9/2020,52,2448,41,144.4,1.8
Alamance,8/8/2020,31,2396,41,141.3,1.78
Alamance,8/7/2020,22,2365,41,139.5,1.78
Alamance,8/6/2020,45,2343,41,138.2,1.78
Alamance,8/5/2020,18,2298,41,135.6,1.78
Alamance,8/4/2020,32,2280,41,134.5,1.78
Alamance,8/3/2020,41,2248,41,132.6,1.78
Alamance,8/2/2020,18,2207,41,130.2,1.76
Alamance,8/1/2020,41,2189,41,129.1,1.77
Alamance,7/31/2020,47,2148,41,126.7,1.76
Alamance,7/30/2020,35,2101,41,123.9,1.75
Alamance,7/29/2020,37,2066,41,121.9,1.75
Alamance,7/28/2020,56,2029,41,119.7,1.75
Alamance,7/27/2020,19,1973,41,116.4,1.73
Alamance,7/26/2020,34,1954,41,115.3,1.73
Alamance,7/25/2020,24,1920,40,113.3,1.73
Alamance,7/24/2020,54,1896,40,111.9,1.74
Alamance,7/23/2020,33,1842,40,108.7,1.73
Alamance,7/22/2020,54,1809,40,106.7,1.72
Alamance,7/21/2020,37,1755,40,103.5,1.71
Alamance,7/20/2020,34,1718,39,101.4,1.7
Alamance,7/19/2020,36,1684,39,99.3,1.69
Alamance,7/18/2020,41,1648,39,97.2,1.68
Alamance,7/17/2020,38,1607,38,94.8,1.68
Alamance,7/16/2020,34,1569,37,92.6,1.68
Alamance,7/15/2020,43,1535,37,90.6,1.68
Alamance,7/14/2020,32,1492,37,88,1.67
Alamance,7/13/2020,32,1460,37,86.1,1.67
Alamance,7/12/2020,27,1428,37,84.2,1.67
Alamance,7/11/2020,13,1401,37,82.7,1.67
Alamance,7/10/2020,31,1388,37,81.9,1.71
Alamance,7/9/2020,38,1357,37,80.1,1.71
Alamance,7/8/2020,10,1319,37,77.8,1.71
Alamance,7/7/2020,17,1309,37,77.2,1.73
Alamance,7/6/2020,18,1292,37,76.2,1.73
Alamance,7/5/2020,34,1274,37,75.2,1.75
Alamance,7/4/2020,33,1240,37,73.2,1.73
Alamance,7/3/2020,28,1207,37,71.2,1.72
Alamance,7/2/2020,28,1179,37,69.6,1.73
Alamance,7/1/2020,30,1151,37,67.9,1.73
Alamance,6/30/2020,7,1121,37,66.1,1.73
Alamance,6/29/2020,26,1114,37,65.7,1.75
Alamance,6/28/2020,22,1088,37,64.2,1.75
Alamance,6/27/2020,34,1066,36,62.9,1.76
Alamance,6/26/2020,23,1032,null,60.9,1.75
Alamance,6/25/2020,15,1009,36,59.5,1.76
Alamance,6/24/2020,25,994,36,58.6,1.78
