,Name,lat,lon
0,Prem de Bokato,-33.430917,-70.60618749999999
1,Caleuche,-33.4316822,-70.6092993
2,Los Maestros,-33.4264797,-70.6090524
3,Don Bono Coffee & Bakery,-33.4261968,-70.60376110000001
6,Restaurant Jin Ying,-33.4311677,-70.60964749999999
9,The Food Garage,-33.4343666,-70.60887990000001
13,Pasteleria Francesa,-33.437253,-70.606526
16,Palo Alto Restaurant,-33.4382808,-70.60794059999999
17,Tu Cevichazo,-33.4383354,-70.6082954
18,Mar de Viña,-33.4385477,-70.6062786
19,Hemingway RestoBar,-33.4385828,-70.6083922
20,Nuevo Chino,-33.4381227,-70.6071422
21,El Perro Caliente,-33.4386104,-70.6086021
22,Long Cheung,-33.4383168,-70.6085167
26,La Hacienda Gaucha,-33.4387109,-70.6083537
27,Aleman Experto,-33.4382529,-70.6077062
41,Sushi Japón Ya,-33.4425412,-70.60690169999999
43,Pizza Hut,-33.4400757,-70.60684309999999
46,Sushi Nikkei,-33.442447,-70.60675599999999
48,Poke Si Providencia,-33.442496,-70.60674
52,Pan Y Oliva,-33.445691,-70.60742499999999
53,Ostras Chonchi,-33.4457655,-70.6059458
54,El Emir,-33.44540320000001,-70.6027167
57,Kimura Sushi Delivery,-33.4451637,-70.6063843
58,Hua Xing Restaurant,-33.4458028,-70.6057917
61,Farina Empanadas,-33.4455706,-70.60610919999999
64,Rocoto Comida Peruana a Domicilio,-33.4462794,-70.6061751
67,Casa Conejo,-33.4481321,-70.6059954
68,Restaurante Hermano,-33.4462083,-70.6061821
69,Fuente La Criolla,-33.446256,-70.60619799999999
70,Liguria Luis Thayer Ojeda,-33.4182352,-70.60275179999999
71,Boa Restorán,-33.4169162,-70.60438789999999
72,Jakava,-33.41734,-70.60256099999999
73,Tofu Gourmet,-33.4179381,-70.60343689999999
74,Barrocko,-33.417653,-70.6032553
75,Krishna Lila,-33.4182362,-70.60389119999999
76,Bariloche Restaurant,-33.4170772,-70.6042964
77,Signore,-33.4169086,-70.6044922
78,Buffalo Waffles,-33.4186161,-70.60443289999999
79,Mexa,-33.4166556,-70.60426389999999
80,H55,-33.4198686,-70.6041659
